,location,size,total_sqft,bath,price
0,Electronic City Phase II,2.0,1056.0,2.0,39.07
2,Uttarahalli,3.0,1440.0,2.0,62.0
3,Lingadheeranahalli,3.0,1521.0,3.0,95.0
4,Kothanur,2.0,1200.0,2.0,51.0
6,Old Airport Road,4.0,2732.0,4.0,204.0
7,Rajaji Nagar,4.0,3300.0,4.0,600.0
11,Whitefield,4.0,2785.0,5.0,295.0
12,7th Phase JP Nagar,2.0,1000.0,2.0,38.0
13,Gottigere,2.0,1100.0,2.0,40.0
14,Sarjapur,3.0,2250.0,3.0,148.0
15,Mysore Road,2.0,1175.0,2.0,73.5
16,Bisuvanahalli,3.0,1180.0,3.0,48.0
18,other,3.0,2770.0,4.0,290.0
20,Kengeri,1.0,600.0,1.0,15.0
21,Binny Pete,3.0,1755.0,3.0,122.0
22,Thanisandra,4.0,2800.0,5.0,380.0
23,Bellandur,3.0,1767.0,3.0,103.0
24,Thanisandra,1.0,510.0,1.0,25.25
27,Whitefield,3.0,1610.0,3.0,81.0
28,Ramagondanahalli,2.0,1151.0,2.0,48.77
29,Electronic City,3.0,1025.0,2.0,47.0
30,Yelahanka,4.0,2475.0,4.0,186.0
32,Hebbal,3.0,1760.0,2.0,123.0
34,Kasturi Nagar,3.0,1925.0,3.0,125.0
37,Kundalahalli,3.0,1724.0,3.0,125.0
39,Uttarahalli,2.0,1143.0,2.0,45.0
40,Murugeshpalya,2.0,1296.0,2.0,81.0
42,other,1.0,600.0,1.0,38.0
43,Yelahanka,1.0,660.0,1.0,48.0
44,Kanakpura Road,2.0,1330.74,2.0,91.79
46,Doddathoguru,2.0,970.0,2.0,33.0
47,Whitefield,2.0,1459.0,2.0,94.82
48,KR Puram,2.0,800.0,1.0,130.0
53,Lakshminarayana Pura,2.0,1185.0,2.0,75.0
55,Begur Road,2.0,1200.0,2.0,44.0
56,Devanahalli,4.0,3210.0,2.0,192.0
57,other,2.0,1500.0,2.0,185.0
63,Varthur,2.0,1160.0,2.0,44.0
64,Bommanahalli,8.0,3000.0,8.0,140.0
65,Doddathoguru,2.0,1100.0,2.0,62.0
66,Gunjur,2.0,1140.0,2.0,43.0
67,Marathahalli,2.0,1220.0,2.0,57.0
71,Begur Road,2.0,1358.0,2.0,80.58
72,Hegde Nagar,3.0,1569.0,3.0,101.0
73,Haralur Road,2.0,1240.0,2.0,70.0
74,Hennur Road,3.0,2089.0,3.0,140.0
75,Kothannur,2.0,1206.0,2.0,48.23
76,Kalena Agrahara,2.0,1150.0,2.0,40.0
77,other,3.0,2511.0,3.0,205.0
79,ISRO Layout,6.0,4400.0,6.0,250.0
80,other,3.0,1660.0,2.0,105.0
81,Hennur Road,4.0,3203.5,2.0,224.5
82,Yelahanka,2.0,1326.0,2.0,78.0
83,Garudachar Palya,3.0,1325.0,2.0,60.8
84,EPIP Zone,3.0,1499.0,5.0,102.0
85,Hegde Nagar,6.0,3000.0,7.0,210.0
87,Dasanapura,2.0,708.0,2.0,37.0
88,Kasavanhalli,2.0,1060.0,2.0,58.06
90,Sanjay nagar,2.0,1000.0,2.0,70.0
93,ISRO Layout,4.0,1200.0,4.0,155.0
94,Thanisandra,2.0,1296.0,2.0,80.0
95,Domlur,3.0,1540.0,3.0,90.0
96,Kengeri,4.0,2894.0,4.0,245.0
97,Sarjapura - Attibele Road,3.0,1330.0,2.0,48.0
99,other,3.0,1200.0,3.0,90.0
101,Chandapura,2.0,650.0,1.0,17.0
102,Kothanur,3.0,2400.0,2.0,150.0
107,Rajaji Nagar,3.0,1640.0,3.0,229.0
109,Devanahalli,2.0,1260.0,2.0,66.78
110,other,3.0,1800.0,3.0,120.0
114,Ramamurthy Nagar,4.0,3700.0,4.0,225.0
115,Sarjapur  Road,3.0,2497.0,3.0,140.0
117,Thanisandra,3.0,1436.0,3.0,74.75
118,Malleshwaram,2.0,1100.0,2.0,75.0
120,Thanisandra,3.0,1427.0,3.0,120.0
121,Akshaya Nagar,3.0,2061.0,3.0,200.0
123,Shampura,4.0,2650.0,4.0,150.0
124,Devanahalli,3.0,1282.0,2.0,68.52
125,Kadugodi,2.0,1050.0,2.0,34.0
128,Hormavu,2.0,1500.0,2.0,78.0
130,other,3.0,1870.0,3.0,110.0
131,Sarjapur,3.0,1600.0,3.0,75.0
133,other,4.0,1200.0,4.0,210.0
134,Kudlu Gate,3.0,1535.0,3.0,83.0
135,Kanakpura Road,2.0,950.0,2.0,57.0
137,8th Phase JP Nagar,2.0,1073.5,2.0,54.005
138,Bommasandra Industrial Area,3.0,1280.0,3.0,50.4
139,other,3.0,1260.0,2.0,85.05
140,Hennur Road,8.0,5000.0,8.0,250.0
142,Kasavanhalli,3.0,1563.05,3.0,105.0
143,ISRO Layout,2.0,1000.0,2.0,60.0
144,Anandapura,2.0,1167.0,2.0,43.76
145,Vishveshwarya Layout,7.0,4000.0,7.0,225.0
146,Kothanur,3.0,1828.0,3.0,110.0
147,Kengeri Satellite Town,2.0,890.0,2.0,35.0
151,Kannamangala,2.0,957.0,2.0,58.0
153,other,3.0,2795.0,4.0,235.0
154,Hulimavu,2.0,1125.0,2.0,50.0
155,Electronic City Phase II,2.0,1020.0,2.0,30.6
156,Kalena Agrahara,2.0,1200.0,2.0,50.0
157,Thanisandra,3.0,1735.0,3.0,135.0
158,Thanisandra,3.0,2050.0,3.0,145.0
159,Mahalakshmi Layout,4.0,3750.0,4.0,760.0
161,Hosa Road,2.0,1063.0,2.0,32.0
162,other,3.0,1904.0,3.0,150.0
163,Whitefield,4.0,4200.0,4.0,420.0
164,other,3.0,2000.0,3.0,175.0
165,Sarjapur,2.0,1242.5,2.0,43.49
167,Electronic City,3.0,1500.0,2.0,64.5
168,Electronic City,2.0,1060.0,2.0,60.0
171,Attibele,1.0,450.0,1.0,11.0
172,Electronic City,2.0,1152.0,2.0,64.5
175,other,3.0,1500.0,3.0,100.0
177,Nagavara,1.0,400.0,1.0,14.0
178,Malleshwaram,1.0,705.0,1.0,67.0
180,Hulimavu,2.0,1242.0,2.0,51.0
181,Hebbal Kempapura,3.0,1700.0,3.0,155.0
182,Thanisandra,3.0,2144.0,3.0,145.0
185,other,3.0,1846.0,3.0,300.0
188,KR Puram,2.0,1277.5,2.0,56.8
189,Marathahalli,2.0,1200.0,2.0,52.0
191,Pattandur Agrahara,3.0,1550.0,2.0,80.0
194,Marathahalli,2.0,1200.0,2.0,60.0
195,Yelahanka,2.0,1327.0,2.0,98.0
196,Kothanur,2.0,1186.0,2.0,58.0
197,other,3.0,1783.0,3.0,115.0
199,Nagasandra,2.0,980.0,2.0,48.0
200,EPIP Zone,2.0,1285.0,2.0,82.0
201,other,3.0,912.0,2.0,70.0
206,Kogilu,3.0,1909.0,3.0,88.0
207,Panathur,2.0,1359.0,2.0,87.0
209,Padmanabhanagar,4.0,1736.0,6.0,190.0
210,1st Block Jayanagar,4.0,2850.0,4.0,428.0
211,Kammasandra,3.0,1595.0,3.0,65.0
213,Electronics City Phase 1,3.0,1475.0,3.0,78.29
214,other,3.0,1580.0,3.0,100.0
215,Dasarahalli,2.0,1295.0,2.0,65.0
216,Magadi Road,6.0,3600.0,6.0,141.0
217,Electronic City,1.0,589.0,1.0,27.0
219,Sarjapur  Road,3.0,1787.0,3.0,98.29
220,Sarjapur  Road,3.0,1787.0,3.0,125.0
225,other,3.0,2405.0,4.0,260.0
226,7th Phase JP Nagar,2.0,1080.0,2.0,72.0
228,Hebbal,3.0,1900.0,3.0,119.0
229,Dommasandra,2.0,805.0,2.0,22.14
234,Kalyan nagar,2.0,1290.0,2.0,110.0
240,Chandapura,1.0,645.0,1.0,16.45
242,Chandapura,1.0,645.0,1.0,16.45
245,Electronic City,3.0,1200.0,3.0,90.0
249,OMBR Layout,3.0,2420.0,3.0,185.0
252,7th Phase JP Nagar,2.0,1270.0,2.0,93.0
255,Horamavu Agara,4.0,1200.0,2.0,95.0
257,Electronic City,2.0,1108.0,2.0,63.0
260,Ambedkar Nagar,4.0,2900.0,3.0,300.0
262,Raja Rajeshwari Nagar,2.0,1295.0,2.0,43.9
263,Budigere,2.0,1162.0,2.0,59.9
269,Kalena Agrahara,3.0,1804.0,3.0,120.0
270,Sarjapur,2.0,913.0,2.0,32.0
271,Talaghattapura,3.0,1868.0,3.0,131.0
272,Kengeri Satellite Town,2.0,883.0,2.0,45.0
273,other,2.0,900.0,2.0,110.0
275,Hegde Nagar,3.0,2026.0,3.0,132.0
276,Balagere,2.0,1210.0,2.0,80.9
278,Kadugodi,3.0,1762.0,3.0,91.45
280,Gollarapalya Hosahalli,2.0,861.0,2.0,34.5
281,7th Phase JP Nagar,3.0,1420.0,2.0,100.0
283,Electronics City Phase 1,3.0,1490.0,3.0,78.8
284,Bisuvanahalli,3.0,1075.0,2.0,46.0
285,Old Madras Road,3.0,1425.0,2.0,94.0
286,Kalena Agrahara,2.0,1200.0,2.0,40.0
287,Kaggadasapura,3.0,1280.0,2.0,56.0
291,Haralur Road,2.0,1027.0,2.0,44.0
292,Electronic City Phase II,2.0,1069.0,2.0,45.0
293,Hebbal,2.0,1349.0,2.0,98.2
294,9th Phase JP Nagar,2.0,1005.0,2.0,50.0
295,Jakkur,2.0,1417.0,2.0,75.0
296,TC Palaya,3.0,1475.0,3.0,98.0
